rebalance_date,domain,basket_code,basket_name,avg_days_to_expiry,expiring_30d_share,expiring_60d_share,certainty_share,turnover,base_cost_bps,turnover_component_bps,expiry_component_bps,certainty_component_bps,estimated_total_cost_bps,estimated_cost_drag_return,cash_weight
2022-07-01,GENERAL,ADIT-X4,Pandemic & Health Crisis,72.25,0.25,0.75,,0.21623000000000003,18.0,7.568050000000001,7.0,0.0,32.56805,0.0007042189451500001,0.19757059999999999
2022-07-01,POLITICAL,ADIT-P1,China Governance,184.0,0.0,0.0,,0.03215000000000001,18.0,1.1252500000000003,0.0,0.0,19.12525,6.148767875000003e-05,0.15707300000000002
2022-07-01,POLITICAL,ADIT-P3,EU Breakup Risk,30.0,1.0,1.0,,0.45,18.0,15.75,16.0,0.0,49.75,0.00223875,0.22999999999999998
2022-07-01,POLITICAL,ADIT-P4,US Governance,183.0,0.0,0.0,,0.03215000000000001,18.0,1.1252500000000003,0.0,0.0,19.12525,6.148767875000003e-05,0.15707300000000002
2022-08-01,CONFLICT,ADIT-S2,Europe War & NATO Conflict,114.75,0.0,0.0,,0.2703874540153034,18.0,9.46356089053562,0.0,0.0,27.463560890535618,0.0007425802307386184,0.20948523988336676
2022-08-01,CONFLICT,ADIT-S4,US-China Conflict Escalation,31.0,0.0,1.0,,0.45,18.0,15.75,6.0,0.0,39.75,0.00178875,0.22999999999999998
2022-08-01,GENERAL,ADIT-X3,Major Economy Recession,51.0,0.0,1.0,,0.8349999999999997,18.0,29.22499999999999,6.0,0.0,53.224999999999994,0.004444287499999998,0.22999999999999998
2022-08-01,GENERAL,ADIT-X4,Pandemic & Health Crisis,159.0,0.0,0.0,,0.6506073500000001,18.0,22.771257250000005,0.0,0.0,40.771257250000005,0.0026526079635590797,0.22999999999999998
2022-08-01,POLITICAL,ADIT-P1,China Governance,153.0,0.0,0.0,,0.02853650000000002,18.0,0.9987775000000008,0.0,0.0,18.9987775,5.421586141287503e-05,0.15627803
2022-08-01,POLITICAL,ADIT-P4,US Governance,152.0,0.0,0.0,,0.02853650000000002,18.0,0.9987775000000008,0.0,0.0,18.9987775,5.421586141287503e-05,0.15627803
2022-09-01,CONFLICT,ADIT-S2,Europe War & NATO Conflict,83.75,0.25,0.25,,0.05474261994168335,18.0,1.915991697958917,4.0,0.0,23.915991697958916,0.00013092240440498192,0.16204337638717034
2022-09-01,GENERAL,ADIT-X4,Pandemic & Health Crisis,128.0,0.0,0.0,,0.065,18.0,2.275,0.0,0.0,20.275,0.0001317875,0.1643
2022-09-01,POLITICAL,ADIT-P1,China Governance,122.0,0.0,0.0,,0.02813901499999999,18.0,0.9848655249999996,0.0,0.0,18.984865525,5.342154157809577e-05,0.15619058330000002
2022-09-01,POLITICAL,ADIT-P4,US Governance,121.0,0.0,0.0,,0.02813901499999999,18.0,0.9848655249999996,0.0,0.0,18.984865525,5.342154157809577e-05,0.15619058330000002
2022-10-01,CONFLICT,ADIT-S2,Europe War & NATO Conflict,76.5,0.0,0.25,,0.3022979028291544,18.0,10.580426599020404,1.5,0.0,30.080426599020406,0.0009093249877090182,0.21650553862241395
2022-10-01,CONFLICT,ADIT-S3,Middle East Armed Conflict,91.0,0.0,0.0,,0.45,18.0,15.75,0.0,0.0,33.75,0.00151875,0.22999999999999998
2022-10-01,GENERAL,ADIT-X3,Major Economy Recession,26.0,1.0,1.0,,0.45,18.0,15.75,16.0,0.0,49.75,0.00223875,0.22999999999999998
2022-10-01,GENERAL,ADIT-X4,Pandemic & Health Crisis,98.0,0.0,0.0,,0.03215000000000001,18.0,1.1252500000000003,0.0,0.0,19.12525,6.148767875000003e-05,0.15707300000000002
2022-10-01,POLITICAL,ADIT-P1,China Governance,92.0,0.0,0.0,,0.02809529165000002,18.0,0.9833352077500007,0.0,0.0,18.983335207750002,5.3334233915145e-05,0.156180964163
2022-10-01,POLITICAL,ADIT-P4,US Governance,91.0,0.0,0.0,,0.02809529165000002,18.0,0.9833352077500007,0.0,0.0,18.983335207750002,5.3334233915145e-05,0.156180964163
2022-11-01,CONFLICT,ADIT-S2,Europe War & NATO Conflict,60.4,0.0,0.6,,0.3774542165391124,18.0,13.210897578868932,3.5999999999999996,0.0,34.81089757886893,0.0013139520072655256,0.22999999999999998
2022-11-01,CONFLICT,ADIT-S3,Middle East Armed Conflict,242.5,0.0,0.5,,0.3440909090909091,18.0,12.04318181818182,3.0,0.0,33.04318181818182,0.001136985847107438,0.2257
2022-11-01,GENERAL,ADIT-X3,Major Economy Recession,47.25,0.0,1.0,,0.835,18.0,29.224999999999998,6.0,0.0,53.224999999999994,0.0044442875,0.22999999999999998
2022-11-01,GENERAL,ADIT-X4,Pandemic & Health Crisis,67.0,0.0,0.0,,0.02853650000000002,18.0,0.9987775000000008,0.0,0.0,18.9987775,5.421586141287503e-05,0.15627803
2022-11-01,POLITICAL,ADIT-P1,China Governance,60.5,0.0,0.5,,0.4219095179185,18.0,14.7668331271475,3.0,0.0,35.7668331271475,0.0015090367322146236,0.22999999999999998
2022-11-01,POLITICAL,ADIT-P4,US Governance,60.0,0.0,1.0,,0.0280904820815,18.0,0.9831668728525,6.0,0.0,24.9831668728525,7.017892013809875e-05,0.15617990605793003
2022-12-01,CONFLICT,ADIT-S2,Europe War & NATO Conflict,30.285714285714285,0.7142857142857143,1.0,,0.27121249999999997,18.0,9.4924375,13.142857142857142,0.0,40.63529464285715,0.0011020799848325893,0.20966675
2022-12-01,CONFLICT,ADIT-S3,Middle East Armed Conflict,212.5,0.5,0.5,,0.06285000000000007,18.0,2.1997500000000025,8.0,0.0,28.19975,0.00017723542875000022,0.16382700000000003
2022-12-01,GENERAL,ADIT-X3,Major Economy Recession,30.0,1.0,1.0,,0.6425000000000001,18.0,22.487500000000004,16.0,0.0,56.487500000000004,0.003629321875000001,0.22999999999999998
2022-12-01,GENERAL,ADIT-X4,Pandemic & Health Crisis,37.0,0.0,1.0,,0.02813901499999999,18.0,0.9848655249999996,6.0,0.0,24.984865525,7.030495057809575e-05,0.15619058330000002
2022-12-01,POLITICAL,ADIT-P1,China Governance,30.5,0.5,1.0,,0.065,18.0,2.275,11.0,0.0,31.275,0.00020328749999999997,0.1643
2022-12-01,POLITICAL,ADIT-P4,US Governance,30.0,1.0,1.0,,0.028089953028965053,18.0,0.9831483560137768,16.0,0.0,34.98314835601378,9.826749941257431e-05,0.1561797896663723
2023-01-01,GENERAL,ADIT-X3,Major Economy Recession,31.0,0.0,1.0,0.0,0.8350000000000001,18.0,29.225,6.0,0.0,53.225,0.0044442875000000005,0.22999999999999998
